dataset,method,seed,correct,test_count,accuracy,macro_f1,elapsed_seconds,evidence_status
ItalyPowerDemand,ASTRAL-K,0,980,1029,0.95238095238095233,0.95238023280523221,2.873225,REBUILT
GunPoint,ASTRAL-K,0,139,150,0.92666666666666664,0.92666340726254504,0.640335,REBUILT
ArrowHead,ASTRAL-K,0,123,175,0.70285714285714285,0.70382486953505607,0.510671,REBUILT
ECG200,ASTRAL-K,0,80,100,0.80000000000000004,0.75716367168528409,0.622187,REBUILT
Coffee,ASTRAL-K,0,27,28,0.9642857142857143,0.96424010217113665,0.174663,REBUILT
BasicMotions,ASTRAL-K,0,37,40,0.92500000000000004,0.92460317460317454,0.187100,REBUILT
Epilepsy,ASTRAL-K,0,133,138,0.96376811594202894,0.96298233418665746,1.015184,REBUILT
AtrialFibrillation,ASTRAL-K,0,1,15,0.066666666666666666,0.051282051282051287,0.111720,REBUILT
StandWalkJump,ASTRAL-K,0,3,15,0.20000000000000001,0.19444444444444442,0.096223,REBUILT
